id,internalId,related_id,slug,title,duration,viewedCount,presenterDisplayName
526880,128547,109914,stephanie_honchell_smith_whatever_happened_to_the_hole_in_the_ozone_layer,Whatever happened to the hole in the ozone layer?,293,552783,Stephanie Honchell Smith
526880,128547,76541,amy_hrdina_and_jesse_kroll_what_s_in_the_air_you_breathe,What's in the air you breathe?,306,387040,Amy Hrdina and Jesse Kroll
526880,128547,100294,ted_ed_why_plague_doctors_wore_beaked_masks,Why plague doctors wore beaked masks,314,1442828, TED-Ed
527254,128758,86532,candace_parker_how_to_break_down_barriers_and_not_accept_limits,How to break down barriers and not accept limits,679,2409824,Candace Parker
527254,128758,117221,emmanuel_acho_why_you_should_stop_setting_goals_yes_really,"Why you should stop setting goals (yes, really)",714,1086152,Emmanuel Acho
527254,128758,123149,ted_ed_how_to_get_motivated_even_when_you_don_t_feel_like_it,How to get motivated even when you don’t feel like it,307,1256735, TED-Ed
527254,128758,1981,hamish_jolly_a_shark_deterrent_wetsuit_and_it_s_not_what_you_think,A shark-deterrent wetsuit (and it's not what you think),738,2843504,Hamish Jolly
527254,128758,1360,simon_berrow_how_do_you_save_a_shark_you_know_nothing_about,How do you save a shark you know nothing about?,989,613859,Simon Berrow
527254,128758,23981,addison_anderson_the_most_groundbreaking_scientist_you_ve_never_heard_of,The most groundbreaking scientist you've never heard of,258,3060840,Addison Anderson
527863,129163,129088,daniela_rus_how_ai_will_step_off_the_screen_and_into_the_real_world,How AI will step off the screen and into the real world,774,545429,Daniela Rus
527863,129163,129248,mustafa_suleyman_what_is_an_ai_anyway,What is an AI anyway?,1321,902584,Mustafa Suleyman
527863,129163,129246,niceaunties_the_weird_and_wonderful_art_of_niceaunties,The weird and wonderful art of Niceaunties,671,375006, Niceaunties
527863,129163,17851,max_tegmark_how_to_get_empowered_not_overpowered_by_ai,"How to get empowered, not overpowered, by AI",1025,1557450,Max Tegmark
527863,129163,2841,tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,"How AI can enhance our memory, work and social lives",576,2264940,Tom Gruber
527863,129163,2645,kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,How AI can bring on a second Industrial Revolution,814,1916295,Kevin Kelly
